param n := 128;
param : E :   a :=
5 69    2
5 70    6
5 71    14
5 72    12
5 73    20
5 74    2
5 75    8
5 76    7
5 77    8
5 78    13
5 79    11
5 80    10
5 81    2
5 82    5
5 83    11
5 84    8
5 85    10
5 86    7
5 87    10
5 88    15
5 89    11
5 90    9
5 91    11
5 92    4
5 93    9
5 94    11
5 95    28
5 96    8
5 97    3
5 98    13
5 99    15
5 100    5
5 101    7
5 102    12
5 103    8
5 104    24
5 105    7
5 106    7
5 107    3
5 108    11
5 109    14
5 110    21
5 111    18
5 112    3
5 113    14
5 114    1
5 115    9
5 116    26
5 117    9
5 118    3
5 119    9
5 120    31
5 121    13
5 122    20
5 123    31
5 124    60
5 125    7
5 126    16
5 127    60
5 128    66
6 1    1
6 2    1
6 3    3
6 4    4
6 5    1
6 6    3
6 7    4
6 8    9
6 9    1
6 10    2
6 11    1
6 12    4
6 13    4
6 14    5
6 15    1
6 16    8
6 17    13
6 18    4
6 19    1
6 20    9
6 21    4
6 22    6
6 23    9
6 24    7
6 25    4
6 26    1
6 27    2
6 28    2
6 29    6
6 30    2
6 31    2
6 32    22
6 33    27
6 34    17
6 35    13
6 36    1
6 37    13
6 38    2
6 39    2
6 40    9
6 41    2
6 42    3
6 43    3
6 44    14
6 45    1
6 46    12
6 47    6
6 48    27
6 49    7
6 50    1
6 51    6
6 52    1
6 53    2
6 54    10
6 55    11
6 56    33
6 57    2
6 58    1
6 59    9
6 60    21
6 61    5
6 62    15
6 63    26
6 64    33
6 65    10
6 66    16
6 67    23
6 68    9
6 69    2
6 70    17
6 71    12
6 72    5
6 73    21
6 74    7
6 75    2
6 76    1
6 77    13
6 78    16
6 79    3
6 80    19
6 81    18
6 82    5
6 83    10
6 84    9
6 85    11
6 86    1
6 87    3
6 88    33
6 89    4
6 90    2
6 91    11
6 92    22
6 93    8
6 94    31
6 95    12
6 96    32
6 97    1
6 98    1
6 99    10
6 100    11
6 101    8
6 102    7
6 103    14
6 104    31
6 105    2
6 106    15
6 107    12
6 108    29
6 109    9
6 110    9
6 111    8
6 112    47
6 113    14
6 114    13
6 115    12
6 116    16
6 117    7
6 118    32
6 119    26
6 120    65
6 121    4
6 122    5
6 123    31
6 124    35
6 125    30
6 126    47
6 127    12
6 128    37
7 1    5
7 2    3
7 3    5
7 4    5
7 5    4
7 6    3
7 7    2
7 8    6
7 9    7
7 10    5
7 11    2
7 12    5
7 13    3
7 14    3
7 15    2
7 16    8
7 17    14
7 18    5
7 19    3
7 20    8
7 21    4
7 22    6
7 23    4
7 24    9
7 25    3
7 26    7
7 27    7
7 28    16
7 29    6
7 30    11
7 31    17
7 32    26
7 33    2
7 34    1
7 35    2
7 36    6
7 37    14
7 38    4
7 39    7
7 40    12
7 41    9
7 42    9
7 43    3
7 44    7
7 45    3
7 46    4
7 47    4
7 48    21
7 49    9
7 50    9
7 51    2
7 52    15
7 53    1
7 54    2
7 55    5
7 56    6
7 57    1
7 58    17
7 59    9
7 60    21
7 61    9
7 62    8
7 63    10
7 64    5
7 65    15
7 66    25
7 67    6
7 68    5
7 69    6
7 70    3
7 71    15
7 72    2
7 73    19
7 74    17
7 75    4
7 76    16
7 77    4
7 78    7
7 79    7
7 80    32
7 81    12
7 82    7
7 83    13
7 84    9
7 85    2
7 86    8
7 87    16
7 88    4
7 89    1
7 90    16
7 91    3
7 92    29
7 93    7
7 94    10
7 95    13
7 96    53
7 97    30
7 98    1
7 99    3
7 100    9
7 101    5
7 102    5
7 103    16
7 104    8
7 105    16
7 106    4
7 107    8
7 108    26
7 109    1
7 110    30
7 111    18
7 112    11
7 113    3
7 114    17
7 115    17
7 116    28
7 117    16
7 118    8
7 119    22
7 120    1
7 121    2
7 122    12
7 123    10
7 124    34
7 125    3
7 126    15
7 127    44
7 128    1
8 1    2
8 2    7
8 3    9
8 4    7
8 5    8
8 6    2
8 7    1
8 8    3
8 9    6
8 10    6
8 11    7
8 12    9
8 13    7
8 14    3
8 15    5
8 16    10
8 17    17
8 18    8
8 19    6
8 20    8
8 21    5
8 22    2
8 23    5
8 24    14
8 25    9
8 26    7
8 27    6
8 28    1
8 29    9
8 30    8
8 31    3
8 32    17
8 33    29
8 34    15
8 35    14
8 36    3
8 37    9
8 38    1
8 39    5
8 40    8
8 41    17
8 42    2
8 43    7
8 44    6
8 45    9
8 46    8
8 47    6
8 48    22
8 49    2
8 50    5
8 51    2
8 52    2
8 53    3
8 54    7
8 55    6
8 56    9
8 57    3
8 58    2
8 59    5
8 60    17
8 61    12
8 62    27
8 63    3
8 64    8
8 65    14
8 66    21
8 67    21
8 68    16
8 69    1
8 70    17
8 71    5
8 72    9
8 73    3
8 74    3
8 75    16
8 76    6
8 77    9
8 78    11
8 79    6
8 80    16
8 81    4
8 82    9
8 83    15
8 84    9
8 85    8
8 86    1
8 87    2
8 88    3
8 89    6
8 90    7
8 91    5
8 92    1
8 93    2
8 94    30
8 95    12
8 96    9
8 97    28
8 98    7
8 99    4
8 100    14
8 101    11
8 102    6
8 103    11
8 104    14
8 105    2
8 106    1
8 107    8
8 108    22
8 109    9
8 110    22
8 111    4
8 112    34
8 113    13
8 114    4
8 115    10
8 116    19
8 117    6
8 118    31
8 119    9
8 120    49
8 121    12
8 122    6
8 123    7
8 124    12
8 125    23
8 126    38
8 127    3
8 128    61
9 1    7
9 2    5
9 3    2
9 4    2
9 5    7
9 6    1
9 7    8
9 8    4
9 9    1
9 10    6
9 11    2
9 12    7
9 13    6
9 14    9
9 15    5
9 16    12
9 17    14
9 18    3
9 19    3
9 20    6
9 21    3
9 22    9
9 23    7
9 24    11
9 25    7
9 26    4
9 27    7
9 28    5
9 29    4
9 30    2
9 31    7
9 32    5
9 33    31
9 34    7
9 35    8
9 36    1
9 37    4
9 38    8
9 39    5
9 40    12
9 41    10
9 42    4
9 43    2
9 44    16
9 45    9
9 46    9
9 47    4
9 48    32
9 49    5
9 50    2
9 51    8
9 52    5
9 53    7
9 54    4
9 55    14
9 56    3
9 57    7
9 58    6
9 59    4
9 60    16
9 61    13
9 62    11
9 63    19
9 64    48
9 65    58
9 66    13
9 67    2
9 68    9
9 69    33
9 70    7
9 71    17
9 72    2
9 73    19
9 74    15
9 75    7
9 76    15
9 77    3
9 78    15
9 79    16
9 80    1
9 81    24
9 82    3
9 83    1
9 84    5
9 85    3
9 86    2
9 87    17
9 88    14
9 89    3
9 90    6
9 91    1
9 92    24
9 93    15
9 94    18
9 95    22
9 96    45
9 97    29
9 98    5
9 99    12
9 100    14
9 101    14
9 102    2
9 103    5
9 104    8
9 105    5
9 106    8
9 107    4
9 108    22
9 109    2
9 110    15
9 111    20
9 112    24
9 113    17
9 114    14
9 115    11
9 116    9
9 117    10
9 118    28
9 119    4
9 120    38
9 121    6
9 122    33
9 123    4
9 124    5
9 125    13
9 126    18
9 127    6
9 128    69
10 1    1
10 2    5
10 3    3
10 4    4
10 5    3
10 6    3
10 7    4
10 8    1
10 9    3
10 10    2
10 11    4
10 12    5
10 13    2
10 14    5
10 15    1
10 16    14
10 17    9
10 18    4
10 19    6
10 20    3
10 21    3
10 22    4
10 23    7
10 24    2
10 25    3
10 26    6
10 27    6
10 28    2
10 29    8
10 30    17
10 31    10
10 32    6
10 33    31
10 34    11
10 35    2
10 36    9
10 37    2
10 38    2
10 39    8
10 40    4
10 41    13
10 42    8
10 43    9
10 44    14
10 45    9
10 46    3
10 47    4
10 48    33
10 49    2
10 50    7
10 51    2
10 52    12
10 53    8
10 54    13
10 55    5
10 56    22
10 57    6
10 58    1
10 59    5
10 60    2
10 61    3
10 62    13
10 63    17
10 64    52
10 65    49
10 66    9
10 67    18
10 68    14
10 69    31
10 70    10
10 71    1
10 72    16
10 73    23
10 74    15
10 75    16
10 76    9
10 77    11
10 78    9
10 79    9
10 80    19
10 81    7
10 82    4
10 83    7
10 84    14
10 85    14
10 86    14
10 87    3
10 88    22
10 89    8
10 90    11
10 91    5
10 92    4
10 93    16
10 94    11
10 95    18
10 96    47
10 97    29
10 98    4
10 99    5
10 100    6
10 101    14
10 102    16
10 103    8
10 104    1
10 105    3
10 106    1
10 107    1
10 108    9
10 109    17
10 110    22
10 111    19
10 112    38
10 113    13
10 114    4
10 115    13
10 116    3
10 117    6
10 118    3
10 119    26
10 120    65
10 121    15
10 122    22
10 123    30
10 124    39
10 125    10
10 126    8
10 127    58
10 128    30
11 1    5
11 2    2
11 3    3
11 4    4
11 5    3
11 6    1
11 7    4
11 8    3
11 9    8
11 10    4
11 11    3
11 12    9
11 13    1
11 14    9
11 15    8
11 16    8
11 17    1
11 18    5
11 19    8
11 20    7
11 21    8
11 22    6
11 23    8
11 24    6
11 25    1
11 26    5
11 27    1
11 28    1
11 29    7
11 30    16
11 31    16
11 32    26
11 33    27
11 34    2
11 35    13
11 36    7
11 37    13
11 38    5
11 39    5
11 40    14
11 41    4
11 42    4
11 43    2
11 44    1
11 45    3
11 46    9
11 47    17
11 48    3
11 49    12
11 50    8
11 51    3
11 52    5
11 53    2
11 54    13
11 55    16
11 56    19
11 57    3
11 58    10
11 59    2
11 60    17
11 61    17
11 62    20
11 63    6
11 64    4
11 65    44
11 66    12
11 67    3
11 68    11
11 69    23
11 70    12
11 71    2
11 72    9
11 73    23
11 74    10
11 75    9
11 76    17
11 77    5
11 78    10
11 79    2
11 80    14
11 81    9
11 82    16
11 83    6
11 84    1
11 85    4
11 86    2
11 87    6
11 88    2
11 89    7
11 90    17
11 91    13
11 92    19
11 93    7
11 94    16
11 95    27
11 96    29
11 97    21
11 98    3
11 99    14
11 100    7
11 101    7
11 102    5
11 103    2
11 104    25
11 105    12
11 106    1
11 107    14
11 108    13
11 109    12
11 110    8
11 111    12
11 112    53
11 113    5
11 114    12
11 115    10
11 116    27
11 117    6
11 118    1
11 119    10
11 120    54
11 121    16
11 122    18
11 123    11
11 124    18
11 125    2
11 126    38
11 127    25
11 128    70
12 1    5
12 2    6
12 3    4
12 4    2
12 5    2
12 6    4
12 7    6
12 8    8
12 9    1
12 10    5
12 11    7
12 12    5
12 13    8
12 14    8
12 15    9
12 16    6
12 17    4
12 18    5
12 19    7
12 20    5
12 21    3
12 22    8
12 23    1
12 24    3
12 25    3
12 26    3
12 27    7
12 28    15
12 29    5
12 30    3
12 31    16
12 32    22
12 33    22
12 34    12
12 35    11
12 36    5
12 37    11
12 38    1
12 39    3
12 40    9
12 41    1
12 42    8
12 43    2
12 44    15
12 45    9
12 46    1
12 47    2
12 48    2
12 49    8
12 50    1
12 51    5
12 52    13
12 53    6
12 54    9
12 55    13
12 56    31
12 57    1
12 58    5
12 59    7
12 60    24
12 61    4
12 62    28
12 63    3
12 64    42
12 65    22
12 66    28
12 67    9
12 68    2
12 69    1
12 70    14
12 71    3
12 72    4
12 73    29
12 74    12
12 75    10
12 76    15
12 77    6
12 78    3
12 79    9
12 80    33
12 81    30
12 82    3
12 83    15
12 84    13
12 85    11
12 86    9
12 87    11
12 88    12
12 89    1
12 90    1
12 91    16
12 92    33
12 93    12
12 94    28
12 95    13
12 96    30
12 97    19
12 98    12
12 99    8
12 100    3
12 101    8
12 102    12
12 103    8
12 104    27
12 105    16
12 106    12
12 107    14
12 108    33
12 109    3
12 110    6
12 111    3
12 112    18
12 113    16
12 114    13
12 115    3
12 116    1
12 117    10
12 118    5
12 119    23
12 120    36
12 121    7
12 122    11
12 123    10
12 124    28
12 125    10
12 126    46
12 127    2
12 128    53
13 1    3
13 2    2
13 3    1
13 4    2
13 5    1
13 6    1
13 7    2
13 8    1
13 9    9
13 10    3
13 11    3
13 12    4
13 13    3
13 14    2
13 15    9
13 16    10
13 17    4
13 18    1
13 19    7
13 20    7
13 21    8
13 22    4
13 23    1
13 24    8
13 25    6
13 26    2
13 27    9
13 28    2
13 29    6
13 30    9
13 31    11
13 32    22
13 33    16
13 34    10
13 35    6
13 36    8
13 37    13
13 38    5
13 39    8
13 40    15
13 41    10
13 42    8
13 43    3
13 44    17
13 45    6
13 46    5
13 47    2
13 48    2
13 49    8
13 50    3
13 51    4
13 52    16
13 53    1
13 54    1
13 55    14
13 56    19
13 57    2
13 58    4
13 59    5
13 60    16
13 61    6
13 62    22
13 63    22
13 64    41
13 65    42
13 66    27
13 67    2
13 68    16
13 69    30
13 70    15
13 71    3
13 72    15
13 73    19
13 74    16
13 75    2
13 76    10
13 77    17
13 78    9
13 79    10
13 80    20
13 81    6
13 82    2
13 83    10
13 84    6
13 85    8
13 86    13
13 87    6
13 88    31
13 89    17
13 90    4
13 91    10
13 92    21
13 93    1
13 94    19
13 95    28
13 96    27
13 97    11
13 98    6
13 99    7
13 100    10
13 101    5
13 102    9
13 103    8
13 104    4
13 105    5
13 106    2
13 107    16
13 108    9
13 109    5
13 110    33
13 111    26
13 112    63
13 113    10
13 114    8
13 115    12
13 116    17
13 117    9
13 118    6
13 119    8
13 120    51
13 121    4
13 122    18
13 123    23
13 124    31
13 125    31
13 126    46
13 127    63
13 128    16
14 1    5
14 2    5
14 3    8
14 4    2
14 5    7
14 6    2
14 7    4
14 8    2
14 9    7
14 10    9
14 11    2
14 12    5
14 13    9
14 14    1
14 15    2
14 16    8
14 17    9
14 18    5
14 19    9
14 20    9
14 21    9
14 22    3
14 23    6
14 24    6
14 25    1
14 26    2
14 27    1
14 28    4
14 29    8
14 30    11
14 31    16
14 32    22
14 33    7
14 34    10
14 35    2
14 36    8
14 37    1
14 38    1
14 39    1
14 40    13
14 41    9
14 42    2
14 43    5
14 44    2
14 45    6
14 46    16
14 47    16
14 48    29
14 49    16
14 50    6
14 51    3
14 52    11
14 53    8
14 54    9
14 55    2
14 56    10
14 57    6
14 58    17
14 59    4
14 60    11
14 61    11
14 62    22
14 63    4
14 64    41
14 65    14
14 66    20
14 67    10
14 68    13
14 69    28
14 70    17
14 71    13
14 72    16
14 73    4
14 74    3
14 75    5
14 76    7
14 77    14
14 78    1
14 79    4
14 80    4
14 81    14
14 82    2
14 83    1
14 84    12
14 85    12
14 86    6
14 87    6
14 88    10
14 89    12
14 90    14
14 91    3
14 92    6
14 93    11
14 94    26
14 95    27
14 96    16
14 97    28
14 98    7
14 99    4
14 100    8
14 101    5
14 102    1
14 103    3
14 104    5
14 105    3
14 106    14
14 107    5
14 108    15
14 109    15
14 110    32
14 111    15
14 112    11
14 113    8
14 114    3
14 115    1
14 116    32
14 117    7
14 118    23
14 119    15
14 120    47
14 121    13
14 122    11
14 123    5
14 124    48
14 125    33
14 126    31
14 127    51
14 128    43
15 1    3
15 2    6
15 3    6
15 4    2
15 5    6
15 6    9
15 7    7
15 8    1
15 9    7
15 10    4
15 11    6
15 12    8
15 13    1
15 14    7
15 15    6
15 16    13
15 17    14
15 18    4
15 19    8
15 20    3
15 21    9
15 22    7
15 23    4
15 24    3
15 25    8
15 26    9
15 27    3
15 28    15
15 29    4
15 30    15
15 31    14
15 32    5
15 33    23
15 34    3
15 35    12
15 36    8
15 37    2
15 38    6
15 39    9
15 40    2
15 41    16
15 42    5
15 43    8
15 44    13
15 45    8
15 46    5
15 47    14
15 48    3
15 49    10
15 50    4
15 51    2
15 52    9
15 53    3
15 54    3
15 55    13
15 56    7
15 57    2
15 58    8
15 59    16
15 60    25
15 61    13
15 62    17
15 63    28
15 64    8
15 65    40
15 66    7
15 67    33
15 68    3
15 69    31
15 70    9
15 71    16
15 72    14
15 73    7
15 74    12
15 75    14
15 76    3
15 77    10
15 78    14
15 79    8
15 80    32
15 81    3
15 82    13
15 83    10
15 84    17
15 85    10
15 86    2
15 87    6
15 88    31
15 89    3
15 90    2
15 91    2
15 92    16
15 93    7
15 94    19
15 95    19
15 96    25
15 97    26
15 98    1
15 99    17
15 100    15
15 101    12
15 102    10
15 103    6
15 104    19
15 105    4
15 106    17
15 107    6
15 108    12
15 109    4
15 110    31
15 111    10
15 112    6
15 113    16
15 114    16
15 115    6
15 116    18
15 117    3
15 118    26
15 119    12
15 120    25
15 121    13
15 122    2
15 123    18
15 124    59
15 125    3
15 126    32
15 127    52
15 128    101
16 1    6
16 2    12
16 3    8
16 4    12
16 5    15
16 6    14
16 7    15
16 8    17
16 9    17
16 10    6
16 11    11
16 12    11
16 13    15
16 14    2
16 15    10
16 16    12
16 17    9
16 18    1
16 19    1
16 20    6
16 21    1
16 22    10
16 23    9
16 24    11
16 25    1
16 26    10
16 27    12
16 28    16
16 29    15
16 30    12
16 31    1
16 32    16
16 33    16
16 34    11
16 35    5
16 36    11
16 37    10
16 38    7
16 39    13
16 40    9
16 41    16
16 42    3
16 43    8
16 44    12
16 45    10
16 46    14
16 47    17
16 48    1
16 49    5
16 50    10
16 51    2
16 52    4
16 53    4
16 54    9
16 55    14
16 56    23
16 57    9
16 58    1
16 59    10
16 60    28
16 61    15
16 62    9
16 63    26
16 64    31
16 65    25
16 66    27
16 67    20
16 68    4
16 69    26
16 70    16
16 71    10
16 72    7
16 73    18
16 74    4
16 75    4
16 76    12
16 77    3
16 78    13
16 79    2
16 80    20
16 81    18
16 82    8
16 83    15
16 84    7
16 85    10
16 86    16
16 87    1
16 88    18
16 89    14
16 90    9
16 91    1
16 92    23
16 93    2
16 94    7
16 95    12
16 96    15
16 97    14
16 98    3
16 99    16
16 100    15
16 101    9
16 102    2
16 103    7
16 104    32
16 105    6
16 106    16
16 107    9
16 108    1
16 109    7
16 110    7
16 111    4
16 112    60
16 113    8
16 114    2
16 115    5
16 116    27
16 117    17
16 118    23
16 119    15
16 120    55
16 121    14
16 122    3
16 123    8
16 124    57
16 125    31
16 126    16
16 127    58
16 128    112
17 1    5
17 2    12
17 3    7
17 4    5
17 5    17
17 6    5
17 7    11
17 8    5
17 9    13
17 10    2
17 11    6
17 12    7
17 13    8
17 14    11
17 15    3
17 16    7
17 17    12
17 18    13
17 19    11
17 20    14
17 21    17
17 22    11
17 23    15
17 24    11
17 25    2
17 26    5
17 27    4
17 28    10
17 29    13
17 30    6
17 31    6
17 32    2
17 33    31
17 34    10
17 35    6
17 36    10
17 37    15
17 38    16
17 39    12
17 40    14
17 41    12
17 42    17
17 43    5
17 44    17
17 45    4
17 46    12
17 47    13
17 48    24
17 49    8
17 50    14
17 51    11
17 52    6
17 53    8
17 54    3
17 55    11
17 56    25
17 57    5
17 58    15
17 59    13
17 60    18
17 61    6
17 62    33
17 63    3
17 64    61
17 65    22
17 66    14
17 67    32
17 68    13
17 69    3
17 70    11
17 71    14
17 72    10
17 73    23
17 74    1
17 75    7
17 76    10
17 77    11
17 78    10
17 79    15
17 80    14
17 81    11
17 82    17
17 83    3
17 84    16
17 85    8
17 86    8
17 87    8
17 88    7
17 89    5
17 90    16
17 91    1
17 92    32
17 93    15
17 94    33
17 95    18
17 96    49
17 97    18
17 98    17
17 99    4
17 100    4
17 101    14
17 102    15
17 103    9
17 104    31
17 105    2
17 106    10
17 107    15
17 108    16
17 109    6
17 110    29
17 111    12
17 112    22
17 113    8
17 114    16
17 115    6
17 116    11
17 117    17
17 118    22
17 119    10
17 120    65
17 121    1
17 122    19
17 123    16
17 124    61
17 125    22
17 126    11
17 127    56
17 128    15
18 1    7
18 2    1
18 3    2
18 4    8
18 5    8
18 6    6
18 7    1
18 8    9
18 9    5
18 10    9
18 11    9
18 12    1
18 13    5
18 14    9
18 15    6
18 16    15
18 17    14
18 18    1
18 19    7
18 20    5
18 21    4
18 22    6
18 23    1
18 24    13
18 25    2
18 26    2
18 27    3
18 28    9
18 29    9
18 30    12
18 31    8
18 32    16
18 33    20
18 34    14
18 35    14
18 36    3
18 37    7
18 38    4
18 39    3
18 40    4
18 41    6
18 42    2
18 43    5
18 44    12
18 45    3
18 46    16
18 47    9
18 48    10
18 49    12
18 50    8
18 51    8
18 52    11
18 53    9
18 54    3
18 55    14
18 56    12
18 57    2
18 58    8
18 59    3
18 60    30
18 61    3
18 62    20
18 63    20
18 64    22
18 65    64
18 66    8
18 67    14
18 68    2
18 69    32
18 70    1
18 71    3
18 72    5
18 73    32
18 74    16
18 75    9
18 76    5
18 77    4
18 78    6
18 79    15
18 80    8
18 81    11
18 82    3
18 83    5
18 84    11
18 85    9
18 86    12
18 87    3
18 88    7
18 89    7
18 90    1
18 91    1
18 92    29
18 93    12
18 94    30
18 95    11
18 96    35
18 97    1
18 98    8
18 99    11
18 100    17
18 101    11
18 102    14
18 103    8
18 104    27
18 105    1
18 106    6
18 107    2
18 108    5
18 109    11
18 110    32
18 111    29
18 112    63
18 113    16
18 114    6
18 115    5
18 116    18
18 117    16
18 118    32
18 119    15
18 120    59
18 121    15
18 122    26
18 123    17
18 124    50
18 125    14
18 126    8
18 127    36
18 128    62
19 1    9
19 2    7
19 3    2
19 4    3
19 5    6
19 6    2
19 7    7
19 8    1
19 9    6
19 10    2
19 11    5
19 12    5
19 13    5
19 14    9
19 15    1
19 16    11
19 17    2
19 18    4
19 19    7
19 20    9
19 21    8
19 22    2
19 23    2
19 24    14
